endpoint,model,title,n_used,term,HR,LCI,UCI,P
all_cause_mortality,Base,All-cause mortality,44642,Q2,1.0161660832252646,0.9386639957577646,1.1000672374397225,0.6919646626919724
all_cause_mortality,Base,All-cause mortality,44642,Q3,1.1871083826231899,1.1001755637709334,1.2809103914869895,9.852103018223314e-06
all_cause_mortality,Base,All-cause mortality,44642,Q4,1.9150355663747685,1.7857297065310997,2.0537045483800718,3.857130470104054e-74
all_cause_mortality,+Clinical,All-cause mortality,34248,Q2,1.01067356968197,0.9225354993915341,1.107232258408927,0.8196056057461641
all_cause_mortality,+Clinical,All-cause mortality,34248,Q3,1.1441520670626053,1.0461932066827746,1.2512831704522542,0.0031899123032095257
all_cause_mortality,+Clinical,All-cause mortality,34248,Q4,1.7390517038264557,1.5911413806156554,1.9007115680766942,3.070493986795388e-34
all_cause_mortality,+Biomarkers,All-cause mortality,33527,Q2,1.0027375837171286,0.9142637496117719,1.099773082139403,0.9537419626019594
all_cause_mortality,+Biomarkers,All-cause mortality,33527,Q3,1.1131152696810767,1.016598986057463,1.2187948449587973,0.02057397223552005
all_cause_mortality,+Biomarkers,All-cause mortality,33527,Q4,1.56853572773788,1.432086754268465,1.7179855353434694,3.1929412977889825e-22
incident_HFRS5,Base,HFRS-positive admission (>=5),42949,Q2,1.034993366521795,0.9769431783194539,1.0964929102497298,0.24284920809771232
incident_HFRS5,Base,HFRS-positive admission (>=5),42949,Q3,1.1858468200460288,1.1217173094928634,1.253642667998987,1.8643096560955837e-09
incident_HFRS5,Base,HFRS-positive admission (>=5),42949,Q4,1.758596054098427,1.6688321311080772,1.8531882409509228,5.386750119634053e-99
incident_HFRS5,+Clinical,HFRS-positive admission (>=5),32961,Q2,1.0034572884308943,0.9390481752474029,1.0722842088903446,0.9187828503222067
incident_HFRS5,+Clinical,HFRS-positive admission (>=5),32961,Q3,1.1262487563891144,1.055016033257301,1.202290980689462,0.00036173049633244557
incident_HFRS5,+Clinical,HFRS-positive admission (>=5),32961,Q4,1.5060654053019409,1.4081503858212043,1.610788895764505,7.377819124328101e-33
incident_HFRS5,+Biomarkers,HFRS-positive admission (>=5),32272,Q2,1.0054826883580426,0.940200585675862,1.07529760350124,0.8731655191757537
incident_HFRS5,+Biomarkers,HFRS-positive admission (>=5),32272,Q3,1.1154090141003787,1.043949634039417,1.1917598590674952,0.001224141947832357
incident_HFRS5,+Biomarkers,HFRS-positive admission (>=5),32272,Q4,1.4399965555507213,1.344453050939458,1.542329855660625,2.2321069517848703e-25
zenin_composite,Base,Zenin healthspan composite,38402,Q2,1.0331801944443388,0.9847762494984881,1.0839633010398682,0.18242376218445688
zenin_composite,Base,Zenin healthspan composite,38402,Q3,1.1929781194349935,1.1388525007376635,1.2496761367506442,9.448175256461497e-14
zenin_composite,Base,Zenin healthspan composite,38402,Q4,1.498963274932966,1.4329671922230156,1.5679988430942906,1.7467020942378955e-69
zenin_composite,+Clinical,Zenin healthspan composite,29452,Q2,1.0219308696042566,0.9671294552616632,1.0798375507729299,0.44044745500962024
zenin_composite,+Clinical,Zenin healthspan composite,29452,Q3,1.1260356726108602,1.0658605236153305,1.1896081221690864,2.2735633840127003e-05
zenin_composite,+Clinical,Zenin healthspan composite,29452,Q4,1.2786201944624076,1.2062923718878988,1.3552847052563586,1.308944204067203e-16
zenin_composite,+Biomarkers,Zenin healthspan composite,28814,Q2,1.0159574091517722,0.9608887038327384,1.0741821119275548,0.5776688285626512
zenin_composite,+Biomarkers,Zenin healthspan composite,28814,Q3,1.1118814757483777,1.051765953601575,1.1754330056786686,0.00018427258353391238
zenin_composite,+Biomarkers,Zenin healthspan composite,28814,Q4,1.2311699825048907,1.1602296628826758,1.3064478303847427,6.503988181764881e-12
hip_fracture,Base,Incident hip fracture,44539,Q2,0.9174758378977806,0.7899523035635801,1.065585744011296,0.2593186271125607
hip_fracture,Base,Incident hip fracture,44539,Q3,0.940912093494315,0.810428202166833,1.0924046884311234,0.42393151884293556
hip_fracture,Base,Incident hip fracture,44539,Q4,1.264347480139278,1.0980959222404416,1.4557694989641483,0.0011104541519190892
hip_fracture,+Clinical,Incident hip fracture,34174,Q2,0.8973460711885203,0.755644338810161,1.0656203323714295,0.2167644703538341
hip_fracture,+Clinical,Incident hip fracture,34174,Q3,0.9850071517013096,0.8301242086248732,1.1687878498447335,0.8625952398824002
hip_fracture,+Clinical,Incident hip fracture,34174,Q4,1.2888025251252535,1.0882291483664626,1.5263439242208956,0.0032862741143595184
hip_fracture,+Biomarkers,Incident hip fracture,33453,Q2,0.8993230844096736,0.7557493515100326,1.0701722846815995,0.2317994358085347
hip_fracture,+Biomarkers,Incident hip fracture,33453,Q3,0.980896072298113,0.8251520769253965,1.166036093897944,0.8269183686952849
hip_fracture,+Biomarkers,Incident hip fracture,33453,Q4,1.2271527102539048,1.0329451709674158,1.4578738703750693,0.019873817551406076
falls,Base,Incident falls,43617,Q2,1.006394007874932,0.9272245007127404,1.0923232704787522,0.8788184375468935
falls,Base,Incident falls,43617,Q3,1.0574273011322768,0.9749939644835988,1.1468301732227804,0.17752116602621698
falls,Base,Incident falls,43617,Q4,1.4137693222324883,1.3100016995409873,1.5257565674808293,5.454026125605442e-19
