endpoint,model,title,caveat,n_total,n_used,n_events,HR_per_SD,LCI_per_SD,UCI_per_SD,P_per_SD,HR_trend_perQ,P_trend,c_index,P_per_SD_q_BH,P_trend_q_BH
all_cause_mortality,Base,All-cause mortality,,44642,44642,5707,1.425883487202524,1.3940158097727144,1.458479670620322,7.718117802655048e-208,1.28566526739777,2.218194758650762e-93,,5.016776571725781e-207,5.767306372491981e-93
all_cause_mortality,+Clinical,All-cause mortality,,44642,34248,4293,1.421158576192167,1.3762408007582239,1.4675423789004234,4.659679337115184e-102,1.2357873520553224,6.040428854139776e-41,0.7481163055403373,6.05758313824974e-101,3.9262787551908546e-40
all_cause_mortality,+Biomarkers,All-cause mortality,,44642,33527,4187,1.319824650131765,1.277003460610949,1.3640817435702577,4.3191859918055184e-61,1.1873983911963155,1.707821834813904e-26,,5.614941789347174e-60,7.400561284193584e-26
incident_HFRS5,Base,HFRS-positive admission (>=5),,42949,42949,10771,1.3330270558814468,1.3080713920125335,1.3584588292065725,2.7568598452314483e-195,1.2274807055796055,1.2809555178150062e-116,,1.1946392662669611e-194,5.550807243865027e-116
incident_HFRS5,+Clinical,HFRS-positive admission (>=5),,42949,32961,8287,1.2599513188017115,1.2276321144871307,1.2931213732652918,5.014400091052289e-68,1.1612197176698553,1.8342935966113627e-38,0.7061982510176118,2.172906706122659e-67,7.948605585315905e-38
incident_HFRS5,+Biomarkers,HFRS-positive admission (>=5),,42949,32272,8107,1.219892936000769,1.1878586274608853,1.2527911494699977,1.573527401884612e-48,1.141896966262827,1.3703778221880225e-29,,1.0227928112249979e-47,8.907455844222146e-29
zenin_composite,Base,Zenin healthspan composite,,41070,41070,13645,1.266558896646905,1.2454628003147792,1.2880123262372716,2.2822385458485682e-167,1.187603990793065,2.1800716125139453e-104,,5.9338202192062775e-167,7.085232740670322e-104
zenin_composite,+Clinical,Zenin healthspan composite,,41070,31527,10483,1.1825814419576206,1.1555074654268804,1.210289771988549,1.0286160800224414e-45,1.1151233848881534,2.0663422194936494e-26,0.7119281669041074,3.3430022600729347e-45,6.71561221335436e-26
zenin_composite,+Biomarkers,Zenin healthspan composite,,41070,30858,10261,1.1461363369866144,1.1193494072620118,1.1735642994391708,1.250928436210654e-29,1.096738847610016,8.244940509954117e-19,,4.065517417684625e-29,2.679605665735088e-18
hip_fracture,Base,Incident hip fracture,,44559,44559,582,1.1189065620111722,1.0543962761562262,1.1873637292002006,0.00020874379087818147,1.081582168002404,0.005450343704070946,,0.00020874379087818147,0.005450343704070946
hip_fracture,+Clinical,Incident hip fracture,,44559,34188,435,1.1459661611547907,1.0654133889795228,1.232609291469199,0.00024844057887174123,1.0991971301593462,0.005223053895898513,0.766868276451314,0.0002691439604443863,0.0056583083872233896
